iter	Passed	Remaining
0	208	208770
1	215	107467
2	221	73557
3	226	56287
4	230	45900
5	234	38773
6	237	33667
7	241	29890
8	244	26946
9	248	24562
10	251	22603
11	254	20964
12	258	19605
13	260	18346
14	263	17316
15	267	16428
16	270	15659
17	274	14957
18	277	14330
19	280	13765
20	284	13250
21	288	12806
22	290	12333
23	292	11875
24	295	11510
25	298	11181
26	302	10893
27	305	10610
28	308	10342
29	311	10068
30	314	9835
31	318	9626
32	322	9454
33	325	9260
34	329	9077
35	332	8908
36	336	8750
37	339	8595
38	342	8450
39	346	8316
40	349	8176
41	352	8048
42	356	7927
43	359	7811
44	363	7711
45	367	7630
46	371	7536
47	374	7436
48	379	7367
49	384	7308
50	389	7249
51	393	7178
52	397	7097
53	400	7018
54	404	6941
55	407	6876
56	411	6811
57	415	6743
58	418	6675
59	422	6614
60	425	6556
61	429	6491
62	432	6432
63	434	6350
64	437	6296
65	441	6244
66	444	6192
67	448	6141
68	450	6082
69	454	6039
70	457	5991
71	461	5944
72	464	5898
73	468	5856
74	471	5813
75	474	5771
76	478	5730
77	481	5691
78	485	5656
79	488	5619
80	492	5583
81	495	5547
82	499	5515
83	502	5483
84	506	5449
85	509	5417
86	513	5385
87	516	5352
88	520	5327
89	524	5305
90	529	5285
91	533	5268
92	538	5251
93	542	5225
94	544	5187
95	547	5153
96	550	5129
97	554	5103
98	559	5095
99	564	5078
100	567	5052
101	571	5027
102	575	5012
103	579	4990
104	582	4965
105	586	4945
106	590	4924
107	593	4904
108	597	4881
109	599	4850
110	603	4832
111	606	4811
112	608	4776
113	612	4756
114	615	4734
115	619	4723
116	623	4702
117	626	4682
118	629	4662
119	632	4640
120	636	4620
121	639	4603
122	643	4584
123	647	4570
124	650	4554
125	653	4535
126	657	4521
127	661	4506
128	664	4487
129	667	4468
130	671	4453
131	674	4435
132	678	4424
133	682	4412
134	686	4396
135	689	4382
136	693	4370
137	696	4352
138	702	4349
139	707	4345
140	713	4344
141	719	4345
142	727	4361
143	732	4354
144	738	4354
145	744	4357
146	749	4348
147	755	4348
148	759	4336
149	763	4329
150	769	4325
151	773	4315
152	778	4311
153	783	4305
154	788	4297
155	792	4289
156	796	4274
157	801	4269
158	804	4257
159	809	4249
160	814	4243
161	818	4232
162	823	4228
163	829	4226
164	835	4228
165	840	4220
166	845	4218
167	850	4209
168	854	4201
169	860	4200
170	864	4190
171	871	4195
172	894	4276
173	899	4269
174	902	4256
175	909	4256
176	913	4245
177	918	4239
178	923	4236
179	929	4232
180	948	4290
181	953	4286
182	969	4326
183	973	4319
184	981	4324
185	988	4327
186	993	4317
187	997	4306
188	1002	4300
189	1007	4293
190	1015	4302
191	1022	4301
192	1026	4292
193	1032	4287
194	1038	4288
195	1046	4293
196	1052	4292
197	1061	4297
198	1066	4292
199	1071	4287
200	1077	4285
201	1083	4280
202	1089	4277
203	1094	4270
204	1099	4262
205	1105	4260
206	1110	4254
207	1115	4246
208	1120	4240
209	1124	4231
210	1130	4226
211	1134	4216
212	1137	4204
213	1142	4194
214	1148	4194
215	1153	4187
216	1161	4191
217	1173	4210
218	1180	4208
219	1194	4234
220	1198	4224
221	1203	4218
222	1209	4215
223	1216	4214
224	1218	4197
225	1221	4185
226	1228	4183
227	1233	4175
228	1238	4169
229	1241	4157
230	1245	4145
231	1251	4141
232	1254	4130
233	1258	4119
234	1260	4104
235	1266	4099
236	1270	4089
237	1277	4089
238	1282	4083
239	1286	4072
240	1288	4059
241	1295	4056
242	1299	4048
243	1305	4043
244	1314	4051
245	1323	4056
246	1331	4059
247	1336	4052
248	1341	4046
249	1346	4040
250	1352	4034
251	1355	4024
252	1359	4015
253	1363	4003
254	1367	3993
255	1370	3983
256	1374	3972
257	1378	3963
258	1380	3950
259	1383	3938
260	1387	3927
261	1390	3916
262	1394	3907
263	1397	3896
264	1400	3885
265	1404	3874
266	1407	3864
267	1410	3851
268	1413	3840
269	1416	3828
270	1419	3817
271	1422	3808
272	1425	3797
273	1428	3784
274	1431	3774
275	1435	3765
276	1440	3758
277	1444	3751
278	1448	3743
279	1452	3735
280	1457	3728
281	1458	3714
282	1462	3705
283	1466	3697
284	1471	3690
285	1474	3682
286	1478	3673
287	1482	3666
288	1486	3656
289	1489	3646
290	1492	3636
291	1497	3629
292	1502	3625
293	1505	3615
294	1508	3606
295	1513	3599
296	1517	3591
297	1521	3585
298	1525	3575
299	1529	3568
300	1533	3560
301	1536	3550
302	1540	3543
303	1544	3536
304	1548	3527
305	1551	3518
306	1555	3510
307	1559	3502
308	1562	3493
309	1565	3485
310	1570	3478
311	1573	3469
312	1576	3461
313	1580	3453
314	1585	3447
315	1588	3438
316	1592	3430
317	1595	3422
318	1599	3415
319	1604	3408
320	1607	3400
321	1611	3392
322	1615	3385
323	1619	3378
324	1623	3371
325	1626	3363
326	1630	3354
327	1634	3348
328	1638	3341
329	1642	3334
330	1645	3326
331	1650	3319
332	1654	3313
333	1657	3305
334	1661	3297
335	1666	3292
336	1670	3285
337	1674	3280
338	1678	3273
339	1683	3267
340	1686	3260
341	1690	3252
342	1694	3245
343	1697	3237
344	1701	3229
345	1703	3220
346	1706	3212
347	1710	3205
348	1713	3196
349	1717	3188
350	1719	3178
351	1722	3171
352	1726	3163
353	1730	3157
354	1734	3150
355	1737	3143
356	1741	3136
357	1744	3129
358	1774	3167
359	1777	3159
360	1780	3152
361	1784	3144
362	1787	3137
363	1791	3129
364	1794	3121
365	1797	3113
366	1801	3106
367	1804	3099
368	1808	3092
369	1811	3084
370	1815	3077
371	1818	3070
372	1822	3063
373	1827	3058
374	1830	3051
